asin,brand_grouped_50,quarter,q_jt,price_mean,price_sd,n_hh,joint_pc1,joint_pc2,joint_pc3,joint_pc4,joint_pc5,text_only_embed
B07YXDVT9W,Sensodyne,2022Q2,2,14.0610044701843,0.56656673188389,2,-1.31532430706112,0.884382042222179,-1.81371892898299,-2.59290554230213,-1.57340019822995,0
B07YXDVT9W,Sensodyne,2022Q3,1,12.1663200886293,,1,-1.31532430706112,0.884382042222179,-1.81371892898299,-2.59290554230213,-1.57340019822995,0
B07YXDVT9W,Sensodyne,2022Q4,1,14.1809517449216,,1,-1.31532430706112,0.884382042222179,-1.81371892898299,-2.59290554230213,-1.57340019822995,0
B084ZJ6541,Sensodyne,2020Q4,1,16.9781531121432,,1,-1.46633628769881,1.1632039623119,-1.53437329098739,-2.54012725088033,-1.50212277843011,0
B084ZJ6541,Sensodyne,2021Q1,1,16.8281779933673,,1,-1.46633628769881,1.1632039623119,-1.53437329098739,-2.54012725088033,-1.50212277843011,0
B084ZJ6541,Sensodyne,2021Q3,1,14.6589494236391,,1,-1.46633628769881,1.1632039623119,-1.53437329098739,-2.54012725088033,-1.50212277843011,0
B084ZJ6541,Sensodyne,2021Q4,1,14.70257334245,,1,-1.46633628769881,1.1632039623119,-1.53437329098739,-2.54012725088033,-1.50212277843011,0
B084ZJ6541,Sensodyne,2022Q2,1,14.1729659559422,,1,-1.46633628769881,1.1632039623119,-1.53437329098739,-2.54012725088033,-1.50212277843011,0
B084ZJ6541,Sensodyne,2022Q3,2,10.7804249810602,4.55034153823207,2,-1.46633628769881,1.1632039623119,-1.53437329098739,-2.54012725088033,-1.50212277843011,0
B084ZJ6541,Sensodyne,2023Q1,2,14.4947429906542,0,2,-1.46633628769881,1.1632039623119,-1.53437329098739,-2.54012725088033,-1.50212277843011,0
B00I8YJZ4M,Tom's of Maine,2018Q1,1,3.78,,1,-1.31841982224414,-1.46925139359336,2.9463975519632,-1.3002549658949,-1.33103471701807,0
B00I8YJZ4M,Tom's of Maine,2018Q3,1,3.74005920327383,,1,-1.31841982224414,-1.46925139359336,2.9463975519632,-1.3002549658949,-1.33103471701807,0
B00I8YJZ4M,Tom's of Maine,2019Q1,1,4.41094789573621,,1,-1.31841982224414,-1.46925139359336,2.9463975519632,-1.3002549658949,-1.33103471701807,0
B00I8YJZ4M,Tom's of Maine,2019Q2,2,4.52412407486493,0,2,-1.31841982224414,-1.46925139359336,2.9463975519632,-1.3002549658949,-1.33103471701807,0
B00I8YJZ4M,Tom's of Maine,2022Q3,1,5.02881820031193,,1,-1.31841982224414,-1.46925139359336,2.9463975519632,-1.3002549658949,-1.33103471701807,0
B00JUJ140M,Tom's of Maine,2018Q1,2,7.54985047830112,0.0143535912381559,2,-0.281693879430381,-0.434072234138767,1.29920169704384,-0.876660455388919,-0.854079202832744,1
B00JUJ140M,Tom's of Maine,2018Q2,2,8.21071621824693,0.978702267183519,2,-0.281693879430381,-0.434072234138767,1.29920169704384,-0.876660455388919,-0.854079202832744,1
B00JUJ140M,Tom's of Maine,2018Q3,2,7.47475544809587,0.0203272010766052,2,-0.281693879430381,-0.434072234138767,1.29920169704384,-0.876660455388919,-0.854079202832744,1
B00JUJ140M,Tom's of Maine,2018Q4,1,12.7880702629516,,1,-0.281693879430381,-0.434072234138767,1.29920169704384,-0.876660455388919,-0.854079202832744,1
B00JUJ140M,Tom's of Maine,2019Q1,4,10.9051691870752,0.76506978710075,4,-0.281693879430381,-0.434072234138767,1.29920169704384,-0.876660455388919,-0.854079202832744,1
B00JUJ140M,Tom's of Maine,2019Q2,2,9.77710489001003,0,2,-0.281693879430381,-0.434072234138767,1.29920169704384,-0.876660455388919,-0.854079202832744,1
B00JUJ140M,Tom's of Maine,2019Q3,1,8.74599264274713,,1,-0.281693879430381,-0.434072234138767,1.29920169704384,-0.876660455388919,-0.854079202832744,1
B00JUJ14VQ,Tom's of Maine,2018Q1,1,8.98,,1,-0.238673692063936,-0.567087973733101,1.30138546778673,-0.767624188043641,0.179233786572439,1
B00JUJ14VQ,Tom's of Maine,2018Q2,1,13.1079444664245,,1,-0.238673692063936,-0.567087973733101,1.30138546778673,-0.767624188043641,0.179233786572439,1
B00JUJ14VQ,Tom's of Maine,2018Q4,1,10.4164239002718,,1,-0.238673692063936,-0.567087973733101,1.30138546778673,-0.767624188043641,0.179233786572439,1
